,valid_accuracy,valid_precision,valid_recall,valid_f1
37067,0.7241117997334843,0.01911939366482595,0.7465933540521157,0.037283987464557536
44422,0.7430433079419276,0.017115156966093736,0.6195834330859469,0.03331016552114706
29447,0.8206578729038405,0.025307862032549457,0.6461242176215696,0.048707897793263656
23375,0.7990680504498093,0.01795271034875905,0.5084337349397591,0.03468084581816389
2078,0.7801160147182341,0.01688255210760103,0.5281827016520894,0.032719282403226774
19048,0.8030811812221061,0.022078514780721772,0.6235408560311284,0.04264697321257786
32864,0.7458915017764861,0.014950835527376282,0.5414740938944296,0.029098229400192153
33787,0.9667710719301517,0.13826822240068024,0.7121654501216546,0.23157561612405553
13984,0.8215405563985145,0.026503018793049688,0.6846473029045643,0.05103061837102261
41290,0.7928208409099851,0.015477748149129635,0.45618745423480594,0.029939688108225008
8859,0.560755481276333,0.011140002631192008,0.7032242305813385,0.02193256441119559
23165,0.8214019956173738,0.027105253233774558,0.7034499632982628,0.05219917389133493
48364,0.8112870585941041,0.02271522405225939,0.6191525838843988,0.04382269835491532
17600,0.8047268043265177,0.02295025134338707,0.6507741459818137,0.044336913661897556
33120,0.7644603570762649,0.016588174866708626,0.5665925376822337,0.03223267124924444
39812,0.8477986797381373,0.031218262904578974,0.6996536368134587,0.05976962908168657
31683,0.7240416640294501,0.013708794776188622,0.549714852467146,0.026750485659471267
26940,0.7782274825900944,0.020845568886482035,0.6827379465400949,0.040455924802013175
35108,0.7914728668909868,0.019041403222516826,0.5843765648472709,0.03688106882411965
28465,0.9816569474546727,0.22546700383391793,0.6923847695390781,0.34016368223493937
26283,0.7856772628600656,0.018985586485051623,0.6175257731958763,0.036838585189228244
38739,0.729190651081715,0.015865155580071708,0.6591145833333333,0.030984501628185977
37158,0.7989705447149326,0.017724118036347592,0.5448617631716224,0.03433144885616618
3952,0.8128009634250857,0.02389453942148164,0.6920867067119353,0.0461942074207072
2086,0.8097628900015567,0.016399347988580795,0.4779527559055118,0.03171065119154383
18370,0.8016271483335928,0.020774404156589956,0.6383928571428571,0.040239350476300825
45,0.7921075094811497,0.01892868234794122,0.6081932773109243,0.036714700147429495
41665,0.7892969494389999,0.018125741782862494,0.5898581187598528,0.035170722918935006
35547,0.7647768230578825,0.017006212975003612,0.6202898550724638,0.03310480610343494
10957,0.6278890350524564,0.015688584764580595,0.9151467089611419,0.030848329048843187
2966,0.7332722069311182,0.01165791467125451,0.48016922263352724,0.02276316779061897
24799,0.9724794339877622,0.1380425832255029,0.620899470899471,0.22586854008276394
43154,0.643791022972009,0.013449713491595119,0.7498010082249934,0.026425415527035562
43713,0.7651805310128109,0.01689113396391637,0.6207446808510638,0.03288736710840572
10132,0.7908091436430538,0.018051422159340393,0.5924739791833467,0.035035390478895916
40571,0.9643847473660622,0.11254763200870985,0.6637239165329053,0.19245985571328833
40396,0.7637008387203826,0.014673916968160778,0.5457964007520817,0.028579465541490854
18027,0.7313186709797274,0.01388897693200043,0.5926426832566947,0.02714186611168921
1158,0.8719544425836625,0.03064239546234006,0.6297099484955272,0.05844098667907773
25931,0.8011960703478218,0.02095127827486102,0.6694776931447225,0.040631010657178945
7021,0.8453387982161582,0.027455466579506455,0.6872102536133079,0.05280140803754766
42342,0.7779127272354045,0.015140336315287897,0.5394304490690033,0.029453980025118117
45535,0.8011840959593282,0.020847521111413785,0.670958904109589,0.040438566073875935
13629,0.781440039960245,0.018831647090746986,0.6674910689749931,0.03662987091325853
15937,0.8277552640267132,0.02393682248491686,0.671067106710671,0.04622481552699131
42450,0.7996667698744913,0.014344770920170837,0.4622173193601765,0.027825971460116384
20119,0.933422399975367,0.055870139675349186,0.6124137931034482,0.10239852398523985
32478,0.711677252596304,0.016708374112862107,0.7882222836604921,0.03272309899569584
48745,0.8206681366654065,0.023008649443156764,0.6813616071428571,0.044514118011629814
21019,0.7892593156465914,0.013991695985309532,0.482893998878295,0.0271954137351053
48205,0.7668603666557757,0.01675985788339449,0.6500988421349901,0.03267727992164266
39619,0.7911837709402119,0.01707633021842386,0.5956237567490764,0.033200804675991194
34050,0.7479185946857664,0.012128283047536357,0.5088218554354013,0.02369184698352966
34448,0.8145526453990123,0.019521087538016197,0.6076418591388651,0.03782694748426836
17461,0.7637572894089955,0.01691034502558802,0.6746849942726232,0.03299373315127963
45603,0.8473864186485706,0.019429558042020765,0.496988815600803,0.03739709325535979
45633,0.785502778913444,0.01647458218651099,0.5982142857142857,0.03206607742483307
31040,0.8438881865815002,0.02123528962666463,0.5615806172483415,0.04092313512831831
30169,0.8173238610218259,0.015664254377741948,0.48364688856729376,0.03034567923654557
38400,0.763435691546595,0.016520273903846843,0.6709376820034945,0.032246551760334224
13646,0.7723189771819474,0.01582963726236877,0.6213364595545134,0.030872737334168253
21267,0.7521421325701656,0.013814243103187586,0.5892700087950747,0.026995628319891482
40174,0.7413412341489032,0.013014912783609776,0.579518779342723,0.025458084391938484
5818,0.8428635210518303,0.021911855319056935,0.5951262477980035,0.04226747156277042
36865,0.981523518554315,0.19400396432111,0.6927160129755234,0.303116330085812
17872,0.7340864653486856,0.012502163836048547,0.5777777777777777,0.0244747345432638
26790,0.8193355582887573,0.020734713772836776,0.6591179976162098,0.04020465843307251
23288,0.5627808635586856,0.008832016449046508,0.6804680468046804,0.01743770326687836
39984,0.8345122403909809,0.022694296282672225,0.6695809466385287,0.043900655248411295
21376,0.8125854244322002,0.015999416877744775,0.5293940307506784,0.031060130360569906
